Hs (m),log10(Hs),a (true),a (pred),log10(a_true),log10(a_pred),a / Hs^6
1.169730e+00,6.808561e-02,2.206443e-07,2.283736e-07,-6.656307e+00,-6.641354e+00,8.915224e-08
1.638567e+00,2.144643e-01,1.667114e-06,1.707189e-06,-5.778035e+00,-5.767718e+00,8.820552e-08
4.325986e+00,6.360851e-01,5.645338e-04,5.605989e-04,-3.248310e+00,-3.251348e+00,8.553455e-08
2.516928e+00,4.008707e-01,2.189795e-05,2.212158e-05,-4.659596e+00,-4.655184e+00,8.701452e-08
3.678283e+00,5.656452e-01,2.133291e-04,2.129334e-04,-3.670950e+00,-3.671756e+00,8.597515e-08
4.653253e+00,6.677566e-01,8.744180e-04,8.663195e-04,-3.058281e+00,-3.062322e+00,8.533718e-08
2.001410e+00,3.013361e-01,5.535993e-06,5.633276e-06,-5.256804e+00,-5.249239e+00,8.764852e-08
3.464323e+00,5.396184e-01,1.488982e-04,1.489043e-04,-3.827111e+00,-3.827093e+00,8.613848e-08
1.601036e+00,2.044012e-01,1.450729e-06,1.486693e-06,-5.838414e+00,-5.827779e+00,8.827023e-08
4.849968e+00,6.857389e-01,1.121017e-03,1.109180e-03,-2.950388e+00,-2.954998e+00,8.522535e-08
1.605125e+00,2.055088e-01,1.473101e-06,1.509498e-06,-5.831768e+00,-5.821167e+00,8.826316e-08
3.934206e+00,5.948570e-01,3.193902e-04,3.181191e-04,-3.495678e+00,-3.497410e+00,8.579212e-08
4.665000e+00,6.688517e-01,8.877474e-04,8.794555e-04,-3.051711e+00,-3.055786e+00,8.533038e-08
4.427826e+00,6.461906e-01,6.491168e-04,6.441173e-04,-3.187677e+00,-3.191035e+00,8.547153e-08
1.112823e+00,4.642591e-02,1.635817e-07,1.695795e-07,-6.786265e+00,-6.770627e+00,8.929312e-08
4.155693e+00,6.186435e-01,4.436496e-04,4.411181e-04,-3.352960e+00,-3.355445e+00,8.564344e-08
5.106942e+00,7.081609e-01,1.528075e-03,1.509468e-03,-2.815855e+00,-2.821176e+00,8.508609e-08
2.111807e+00,3.246542e-01,7.640185e-06,7.761233e-06,-5.116896e+00,-5.110069e+00,8.749954e-08
