========================================================================================================================
TABELA DE DADOS - VALIDAÇÃO
========================================================================================================================

      Hs (m)    log10(Hs)           a (true)           a (pred)  log10(a_true)  log10(a_pred)           a / Hs^6
      2.1877       0.3400       9.443447e-06       9.582329e-06        -5.0249        -5.0185       8.740172e-08
      1.3285       0.1234       4.734763e-07       4.880906e-07        -6.3247        -6.3115       8.879357e-08
      3.8289       0.5831       2.714118e-04       2.705642e-04        -3.5664        -3.5677       8.586593e-08
      1.7417       0.2410       2.404603e-06       2.457650e-06        -5.6190        -5.6095       8.803514e-08
      4.7564       0.6773       9.973475e-04       9.874246e-04        -3.0012        -3.0055       8.527796e-08
      3.1373       0.4966       8.213773e-05       8.239941e-05        -4.0855        -4.0841       8.640933e-08
      1.8213       0.2604       3.144195e-06       3.209013e-06        -5.5025        -5.4936       8.791057e-08
      5.4705       0.7380       2.308551e-03       2.275482e-03        -2.6367        -2.6429       8.490105e-08
      4.9772       0.6970       1.309532e-03       1.294641e-03        -2.8829        -2.8879       8.515550e-08
      3.7323       0.5720       2.328271e-04       2.322878e-04        -3.6330        -3.6340       8.593543e-08
      5.9856       0.7771       3.961278e-03       3.893418e-03        -2.4022        -2.4097       8.465940e-08
